steps,tol,time,valid_prob,best_prob,best_valid,best_cost,optimal_cost
3,0.001,11.210185050964355,0.0223,0.0293,False,nan,7.0
1,0.1,12.358841180801392,0.0317,0.0728,False,nan,7.0
1,0.01,9.89352297782898,0.0429,0.0133,False,nan,7.0
1,0.001,17.0368390083313,0.0397,0.0162,True,7.0,7.0
2,0.1,12.203917026519775,0.0313,0.0182,False,nan,7.0
2,0.01,10.217072248458862,0.0241,0.0156,False,nan,7.0
2,0.001,16.621579885482788,0.0126,0.0205,False,nan,7.0
3,0.1,12.585678100585938,0.0542,0.026,True,9.0,7.0
3,0.01,14.510221004486084,0.0156,0.0277,False,nan,7.0
3,0.001,20.286449909210205,0.0348,0.0116,False,nan,7.0
1,0.1,17.201093196868896,0.0332,0.0171,False,nan,7.0
1,0.01,21.572673797607422,0.0082,0.013,False,nan,7.0
1,0.001,12.842571020126343,0.0195,0.0114,False,nan,7.0
2,0.1,15.22334098815918,0.0233,0.0137,False,nan,7.0
2,0.01,16.993129014968872,0.0386,0.0182,True,9.0,7.0
2,0.001,20.11642599105835,0.0453,0.0223,False,nan,7.0
3,0.1,11.797322988510132,0.0444,0.0204,False,nan,7.0
3,0.01,19.80340814590454,0.0061,0.1003,False,nan,7.0
3,0.001,24.572190046310425,0.0705,0.0619,True,7.0,7.0
1,0.1,18.953552722930908,0.0296,0.0141,False,nan,7.0
1,0.01,13.848860263824463,0.0057,0.0082,False,nan,7.0
1,0.001,14.510860204696655,0.0185,0.0126,False,nan,7.0
2,0.1,20.150065898895264,0.0692,0.0196,True,8.0,7.0
2,0.01,22.102965116500854,0.014,0.0136,False,nan,7.0
2,0.001,13.450994968414307,0.0654,0.0325,True,9.0,7.0
3,0.1,15.582353115081787,0.0239,0.0677,False,nan,7.0
3,0.01,40.404524087905884,0.0335,0.0162,False,nan,7.0
3,0.001,19.96098518371582,0.0229,0.0137,False,nan,7.0
1,0.1,54.78520393371582,0.047,0.0143,False,nan,7.0
1,0.01,33.270672082901,0.0285,0.0178,False,nan,7.0
1,0.001,11.049618005752563,0.0375,0.016,True,9.0,7.0
2,0.1,7.0172460079193115,0.0083,0.009,False,nan,7.0
2,0.01,4.2319440841674805,0.0293,0.0445,False,nan,7.0
2,0.001,4.729289770126343,0.009,0.0097,False,nan,7.0
3,0.1,4.21769118309021,0.0175,0.0042,False,nan,7.0
3,0.01,4.123932123184204,0.1064,0.025,False,nan,7.0
3,0.001,4.7512757778167725,0.0384,0.0232,False,nan,7.0
1,0.1,7.054959058761597,0.0219,0.0322,False,nan,7.0
1,0.01,4.312559127807617,0.0172,0.0125,False,nan,7.0
1,0.001,3.508281946182251,0.0129,0.0086,False,nan,7.0
2,0.1,2.925820827484131,0.0282,0.0123,False,nan,7.0
2,0.01,3.592633008956909,0.0144,0.0106,False,nan,7.0
2,0.001,4.0210771560668945,0.0128,0.0113,False,nan,7.0
3,0.1,5.186055898666382,0.0331,0.0166,False,nan,7.0
3,0.01,4.950382232666016,0.0071,0.0582,False,nan,7.0
3,0.001,7.811866044998169,0.0411,0.0151,False,nan,7.0
1,0.1,8.26964807510376,0.0221,0.0099,False,nan,7.0
1,0.01,8.344475030899048,0.0715,0.0686,True,7.0,7.0
1,0.001,5.690341234207153,0.0071,0.0103,False,nan,7.0
2,0.1,6.390221118927002,0.0589,0.0314,False,nan,7.0
2,0.01,4.860205173492432,0.0445,0.024,False,nan,7.0
2,0.001,4.000072956085205,0.0884,0.02,False,nan,7.0
3,0.1,3.9613661766052246,0.0878,0.0839,True,7.0,7.0
3,0.01,4.395127773284912,0.0137,0.0141,False,nan,7.0
3,0.001,4.4884352684021,0.0206,0.0102,False,nan,7.0
1,0.1,15.560683965682983,0.0125,0.0105,False,nan,7.0
1,0.01,4.062580823898315,0.0081,0.0099,False,nan,7.0
1,0.001,4.349929094314575,0.0109,0.0112,False,nan,7.0
2,0.1,4.397334098815918,0.0172,0.0117,False,nan,7.0
2,0.01,4.933701276779175,0.006,0.0304,False,nan,7.0
2,0.001,4.604229211807251,0.0276,0.0099,False,nan,7.0
3,0.1,5.900390148162842,0.0099,0.0139,False,nan,7.0
3,0.01,5.021519184112549,0.0078,0.1071,False,nan,7.0
3,0.001,5.348583936691284,0.0051,0.0092,False,nan,7.0
1,0.1,6.889024972915649,0.0222,0.0285,False,nan,7.0
1,0.01,23.24311089515686,0.0348,0.0206,False,nan,7.0
1,0.001,6.860697031021118,0.0144,0.0606,False,nan,7.0
2,0.1,6.088573217391968,0.0136,0.0322,False,nan,7.0
2,0.01,6.3145670890808105,0.0134,0.0168,False,nan,7.0
2,0.001,5.176655054092407,0.0222,0.0418,False,nan,7.0
3,0.1,4.9667840003967285,0.0165,0.0504,False,nan,7.0
3,0.01,3.303757667541504,0.02,0.0145,False,nan,7.0
3,0.001,3.5766448974609375,0.0043,0.0109,False,nan,7.0
1,0.1,4.636680841445923,0.0142,0.0142,False,nan,7.0
1,0.01,3.2507717609405518,0.0105,0.0103,False,nan,7.0
1,0.001,4.936005115509033,0.0131,0.0126,False,nan,7.0
2,0.1,4.288048982620239,0.0873,0.0837,True,7.0,7.0
2,0.01,5.4186906814575195,0.0944,0.0268,False,nan,7.0
2,0.001,5.7006402015686035,0.0208,0.022,False,nan,7.0
3,0.1,4.200425863265991,0.0285,0.0187,False,nan,7.0
3,0.01,5.031673192977905,0.0249,0.0317,False,nan,7.0
3,0.001,3.9011878967285156,0.0104,0.0106,False,nan,7.0
1,0.1,4.909848928451538,0.0431,0.0187,True,7.0,7.0
1,0.01,18.570255041122437,0.0234,0.0131,False,nan,7.0
1,0.001,3.315922975540161,0.0273,0.0149,False,nan,7.0
2,0.1,4.843646049499512,0.0306,0.0161,False,nan,7.0
2,0.01,5.513406991958618,0.0216,0.0162,False,nan,7.0
2,0.001,5.7282679080963135,0.0126,0.0095,False,nan,7.0
3,0.1,7.3133838176727295,0.022,0.015,False,nan,7.0
3,0.01,5.20246434211731,0.0126,0.0077,False,nan,7.0
3,0.001,3.890801191329956,0.0175,0.0114,False,nan,7.0
1,0.1,4.407758951187134,0.016,0.0087,False,nan,7.0
1,0.01,4.563138008117676,0.045,0.0422,True,7.0,7.0
1,0.001,6.07706093788147,0.0137,0.0746,False,nan,7.0
2,0.1,6.848875045776367,0.0299,0.0111,False,nan,7.0
2,0.01,6.508116960525513,0.0613,0.0295,True,9.0,7.0
2,0.001,4.091657876968384,0.031,0.0159,False,nan,7.0
3,0.1,5.330195188522339,0.0171,0.0134,False,nan,7.0
3,0.01,5.223662853240967,0.0078,0.0666,False,nan,7.0
3,0.001,7.26830530166626,0.0148,0.0156,False,nan,7.0
1,0.1,6.917224168777466,0.0731,0.0654,True,7.0,7.0
1,0.01,4.0827717781066895,0.0104,0.0111,False,nan,7.0
1,0.001,3.9892799854278564,0.0154,0.024,False,nan,7.0
2,0.1,4.353353977203369,0.0314,0.0144,False,nan,7.0
2,0.01,6.943649768829346,0.0091,0.0154,False,nan,7.0
2,0.001,8.719892978668213,0.0081,0.0327,False,nan,7.0
3,0.1,4.305755138397217,0.0461,0.0112,False,nan,7.0
3,0.01,9.716794967651367,0.0271,0.0118,False,nan,7.0
3,0.001,5.753704071044922,0.0097,0.0114,False,nan,7.0
1,0.1,5.204207181930542,0.0088,0.0261,False,nan,7.0
1,0.01,4.808276891708374,0.0327,0.0139,False,nan,7.0
1,0.001,4.378068923950195,0.0091,0.0305,False,nan,7.0
2,0.1,6.117441892623901,0.0114,0.0258,False,nan,7.0
2,0.01,8.61930513381958,0.0671,0.0565,True,7.0,7.0
2,0.001,6.327993154525757,0.1599,0.0287,True,9.0,7.0
3,0.1,4.847625017166138,0.04,0.0197,False,nan,7.0
3,0.01,3.8701908588409424,0.0402,0.0293,False,nan,7.0
3,0.001,5.107411861419678,0.0013,0.0132,False,nan,7.0
1,0.1,5.294649124145508,0.017,0.0099,False,nan,7.0
1,0.01,4.5785369873046875,0.0168,0.0539,False,nan,7.0
1,0.001,4.30803108215332,0.0284,0.0138,False,nan,7.0
2,0.1,8.051635026931763,0.0218,0.0365,False,nan,7.0
2,0.01,5.237884998321533,0.0203,0.046,False,nan,7.0
2,0.001,4.825756788253784,0.0036,0.101,False,nan,7.0
3,0.1,4.2879319190979,0.0271,0.0136,True,7.0,7.0
3,0.01,3.8280038833618164,0.015,0.0104,False,nan,7.0
3,0.001,6.365494012832642,0.0176,0.0123,False,nan,7.0
1,0.1,3.8209006786346436,0.0217,0.0104,False,nan,7.0
1,0.01,4.444549798965454,0.0873,0.0825,True,7.0,7.0
1,0.001,5.044658899307251,0.0256,0.0207,False,nan,7.0
2,0.1,6.538691997528076,0.0204,0.0135,False,nan,7.0
2,0.01,4.275051116943359,0.0274,0.0179,False,nan,7.0
2,0.001,3.5564191341400146,0.0358,0.0324,True,7.0,7.0
3,0.1,3.127894639968872,0.0121,0.0111,False,nan,7.0
3,0.01,5.052728891372681,0.0314,0.0424,False,nan,7.0
3,0.001,2.8528060913085938,0.0094,0.0108,False,nan,7.0
1,0.1,4.927189111709595,0.0323,0.0192,False,nan,7.0
1,0.01,4.801666021347046,0.0144,0.0914,False,nan,7.0
1,0.001,5.080106973648071,0.0145,0.0393,False,nan,7.0
2,0.1,3.24638295173645,0.0165,0.0102,False,nan,7.0
2,0.01,4.0190651416778564,0.1448,0.0343,True,7.0,7.0
2,0.001,2.706441879272461,0.0402,0.0251,False,nan,7.0
3,0.1,4.810372829437256,0.0296,0.0128,False,nan,7.0
3,0.01,5.084420204162598,0.0372,0.0176,False,nan,7.0
3,0.001,4.180988073348999,0.0169,0.0276,False,nan,7.0
1,0.1,4.69613790512085,0.0283,0.0155,False,nan,7.0
1,0.01,5.181493043899536,0.2245,0.0445,True,7.0,7.0
1,0.001,5.1437602043151855,0.0405,0.0177,False,nan,7.0
2,0.1,3.867532968521118,0.0236,0.0099,False,nan,7.0
2,0.01,4.954922914505005,0.0262,0.0489,False,nan,7.0
2,0.001,6.692683935165405,0.0239,0.0144,False,nan,7.0
3,0.1,4.234796047210693,0.0187,0.0131,False,nan,7.0
3,0.01,4.142489910125732,0.0025,0.0163,False,nan,7.0
3,0.001,7.462041139602661,0.0874,0.0807,True,7.0,7.0
1,0.1,4.6202778816223145,0.0132,0.011,False,nan,7.0
1,0.01,5.49945592880249,0.0148,0.0145,False,nan,7.0
1,0.001,2.9082281589508057,0.0108,0.012,False,nan,7.0
2,0.1,4.611292123794556,0.0161,0.0142,False,nan,7.0
2,0.01,3.893892765045166,0.0104,0.0115,False,nan,7.0
2,0.001,4.44280219078064,0.0189,0.019,False,nan,7.0
3,0.1,6.144340991973877,0.0223,0.0129,False,nan,7.0
3,0.01,4.777023077011108,0.0716,0.066,True,7.0,7.0
3,0.001,3.123898983001709,0.0078,0.0152,False,nan,7.0
1,0.1,4.708057641983032,0.0347,0.0167,True,7.0,7.0
1,0.01,6.514564275741577,0.0166,0.0232,False,nan,7.0
1,0.001,4.701726913452148,0.0969,0.0256,False,nan,7.0
2,0.1,5.321703910827637,0.0076,0.0631,False,nan,7.0
2,0.01,3.3266491889953613,0.0683,0.0184,True,7.0,7.0
2,0.001,4.468124151229858,0.0311,0.0139,False,nan,7.0
3,0.1,3.6935670375823975,0.011,0.0327,False,nan,7.0
3,0.01,3.74525785446167,0.0475,0.0222,False,nan,7.0
3,0.001,7.2735607624053955,0.0123,0.0274,False,nan,7.0
1,0.1,3.6970691680908203,0.0179,0.0271,False,nan,7.0
1,0.01,7.831073045730591,0.0156,0.0118,False,nan,7.0
1,0.001,2.6865599155426025,0.0282,0.0111,False,nan,7.0
2,0.1,4.755363941192627,0.0123,0.0093,False,nan,7.0
2,0.01,7.318988084793091,0.0452,0.014,True,7.0,7.0
2,0.001,18.835389852523804,0.0238,0.0344,False,nan,7.0
3,0.1,3.4677140712738037,0.0131,0.0119,False,nan,7.0
3,0.01,4.970365047454834,0.0119,0.0757,False,nan,7.0
3,0.001,5.54289984703064,0.009,0.0094,False,nan,7.0
1,0.1,3.0837759971618652,0.0287,0.0131,False,nan,7.0
1,0.01,15.633187055587769,0.041,0.018,True,9.0,7.0
1,0.001,5.0934898853302,0.0212,0.0173,False,nan,7.0
2,0.1,4.977892160415649,0.0124,0.0396,False,nan,7.0
2,0.01,5.349149942398071,0.02,0.0106,False,nan,7.0
2,0.001,5.78515100479126,0.0406,0.0179,True,9.0,7.0
3,0.1,5.082312107086182,0.0164,0.0172,False,nan,7.0
3,0.01,5.1756086349487305,0.0118,0.0436,False,nan,7.0
3,0.001,4.555968999862671,0.0161,0.0073,False,nan,7.0
1,0.1,6.761224031448364,0.0312,0.0113,False,nan,7.0
1,0.01,5.479063987731934,0.0209,0.0107,False,nan,7.0
1,0.001,3.1596028804779053,0.0147,0.0151,False,nan,7.0
2,0.1,3.2184970378875732,0.0182,0.0128,False,nan,7.0
2,0.01,5.527508020401001,0.0108,0.0418,False,nan,7.0
2,0.001,7.9411680698394775,0.0166,0.0121,False,nan,7.0
3,0.1,3.0441532135009766,0.0991,0.0209,False,nan,7.0
3,0.01,5.455488920211792,0.0918,0.0858,True,7.0,7.0
3,0.001,9.556218147277832,0.0482,0.0172,False,nan,7.0
1,0.1,6.540385961532593,0.0073,0.0346,False,nan,7.0
1,0.01,5.46085000038147,0.1027,0.0247,False,nan,7.0
1,0.001,4.719731330871582,0.0093,0.0257,False,nan,7.0
2,0.1,3.082369089126587,0.0354,0.0187,True,7.0,7.0
2,0.01,5.955842018127441,0.0357,0.0171,False,nan,7.0
2,0.001,11.287723064422607,0.1707,0.0317,True,8.0,7.0
3,0.1,7.177764892578125,0.0054,0.0255,False,nan,7.0
3,0.01,5.876788139343262,0.0711,0.0676,True,7.0,7.0
3,0.001,10.232964038848877,0.0087,0.0091,False,nan,7.0
1,0.1,5.021296739578247,0.0068,0.1037,False,nan,7.0
1,0.01,5.561842203140259,0.0099,0.0109,False,nan,7.0
1,0.001,4.7723658084869385,0.0256,0.0129,False,nan,7.0
2,0.1,2.4494059085845947,0.0207,0.0131,False,nan,7.0
2,0.01,6.310326099395752,0.0183,0.0544,False,nan,7.0
2,0.001,7.029873847961426,0.019,0.0112,False,nan,7.0
3,0.1,4.872867107391357,0.022,0.0789,False,nan,7.0
3,0.01,2.7413601875305176,0.0094,0.0147,False,nan,7.0
3,0.001,4.145545959472656,0.0272,0.0448,False,nan,7.0
1,0.1,5.006535053253174,0.0141,0.0701,False,nan,7.0
1,0.01,4.991811275482178,0.0714,0.0657,True,7.0,7.0
1,0.001,6.3239569664001465,0.0594,0.0302,True,9.0,7.0
2,0.1,3.244231939315796,0.0168,0.0222,False,nan,7.0
2,0.01,4.27844500541687,0.0091,0.035,False,nan,7.0
2,0.001,3.9214627742767334,0.032,0.0152,True,9.0,7.0
3,0.1,4.5765461921691895,0.0269,0.0119,False,nan,7.0
3,0.01,3.5422582626342773,0.0143,0.0112,False,nan,7.0
3,0.001,5.05856990814209,0.0052,0.0413,False,nan,7.0
